Mã TC,Tiêu đề testcase,Kết quả mong đợi,Kết quả thực tế,Tình trạng thực thi,Mức độ nghiêm trọng của lỗi,Kiểu chạy (Thủ công / Tự động),Người kiểm thử,Ngày bắt đầu,Chi tiết bước kiểm thử,Ghi chú
EN-001,Enemy prefab instantiate được,"Enemy prefab thật được tạo trong scene, không null và không phát sinh Error/Exception.","Prefab=Enemy_Bat, vị trí spawn=(0.00,1.00,0.00), số lỗi Console=0.",Pass,,Tự động,Huỳnh Ngọc Thanh Phước,31/05/2026,Tự động kiểm tra bằng Unity Test Runner.,
EN-002,Enemy không Missing Script,Enemy và object con không có component Missing Script.,"Đã quét 31 GameObject con, Missing Script=0.",Pass,,Tự động,Huỳnh Ngọc Thanh Phước,31/05/2026,Tự động kiểm tra bằng Unity Test Runner.,
EN-003,Enemy có EnemyBase,Enemy có component EnemyBase.,Tìm thấy component EnemyBase.,Pass,,Tự động,Huỳnh Ngọc Thanh Phước,31/05/2026,Tự động kiểm tra bằng Unity Test Runner.,
EN-004,Enemy có EnemyData,EnemyBase.Data hoặc enemyData không null.,"EnemyData=Bat (EnemyData), maxHealth=100, damage=10.",Pass,,Tự động,Huỳnh Ngọc Thanh Phước,31/05/2026,Tự động kiểm tra bằng Unity Test Runner.,
EN-005,Enemy có EnemyHealth,Enemy có component EnemyHealth.,Tìm thấy component EnemyHealth.,Pass,,Tự động,Huỳnh Ngọc Thanh Phước,31/05/2026,Tự động kiểm tra bằng Unity Test Runner.,
EN-006,Enemy có EnemyDamageReceiver,Enemy có component EnemyDamageReceiver.,Tìm thấy component EnemyDamageReceiver.,Pass,,Tự động,Huỳnh Ngọc Thanh Phước,31/05/2026,Tự động kiểm tra bằng Unity Test Runner.,
EN-007,Enemy có EnemyDetection,Enemy có component EnemyDetection.,Tìm thấy component EnemyDetection.,Pass,,Tự động,Huỳnh Ngọc Thanh Phước,31/05/2026,Tự động kiểm tra bằng Unity Test Runner.,
EN-008,Enemy có EnemyLocomotion,Enemy có component EnemyLocomotion.,Tìm thấy component EnemyLocomotion.,Pass,,Tự động,Huỳnh Ngọc Thanh Phước,31/05/2026,Tự động kiểm tra bằng Unity Test Runner.,
EN-009,Enemy có EnemyCombat,Enemy có component EnemyCombat.,Tìm thấy component EnemyCombat.,Pass,,Tự động,Huỳnh Ngọc Thanh Phước,31/05/2026,Tự động kiểm tra bằng Unity Test Runner.,
EN-010,Enemy có EnemyHitbox nếu project dùng,EnemyHitbox tồn tại nếu prefab dùng hitbox cận chiến.,Tìm thấy component EnemyHitbox.,Pass,,Tự động,Huỳnh Ngọc Thanh Phước,31/05/2026,Tự động kiểm tra bằng Unity Test Runner.,
EN-011,Enemy có EnemyStateMachine,Enemy có EnemyStateMachine.,Tìm thấy component EnemyStateMachine.,Pass,,Tự động,Huỳnh Ngọc Thanh Phước,31/05/2026,Tự động kiểm tra bằng Unity Test Runner.,
EN-012,Enemy có EnemyPoiseSystem nếu project dùng,EnemyPoiseSystem tồn tại nếu prefab dùng poise/stagger.,Tìm thấy component EnemyPoiseSystem.,Pass,,Tự động,Huỳnh Ngọc Thanh Phước,31/05/2026,Tự động kiểm tra bằng Unity Test Runner.,
EN-013,Enemy có EnemyLootDropper nếu project dùng,EnemyLootDropper tồn tại nếu prefab dùng loot.,Tìm thấy component EnemyLootDropper.,Pass,,Tự động,Huỳnh Ngọc Thanh Phước,31/05/2026,Tự động kiểm tra bằng Unity Test Runner.,
EN-014,Enemy có EnemyProjectile nếu project dùng,EnemyProjectile tồn tại nếu prefab là projectile/ranged.,Prefab Enemy hiện tại không có EnemyProjectile; ghi nhận để xác minh nếu hệ thống có dùng.,Pass,,Tự động,Huỳnh Ngọc Thanh Phước,31/05/2026,Tự động kiểm tra bằng Unity Test Runner.,
EN-015,HP ban đầu Enemy hợp lệ,HP ban đầu đọc được và lớn hơn 0.,HP ban đầu đọc được=100.00.,Pass,,Tự động,Huỳnh Ngọc Thanh Phước,31/05/2026,Tự động kiểm tra bằng Unity Test Runner.,
