Mã TC,Tiêu đề testcase,Kết quả mong đợi,Kết quả thực tế,Tình trạng thực thi,Mức độ nghiêm trọng của lỗi,Kiểu chạy (Thủ công / Tự động),Người kiểm thử,Ngày bắt đầu,Chi tiết bước kiểm thử,Ghi chú
GL-001,GoldManager thật khởi tạo được,GoldManager thật AddComponent được.,"Component=GoldManager, Error/Exception=0.",Pass,,Tự động,Huỳnh Ngọc Thanh Phước,31/05/2026,Kiểm tra PlayMode runtime bằng prefab/script thật.,
GL-002,Vàng ban đầu không âm,CurrentGold ban đầu >= 0.,CurrentGold=0.,Pass,,Tự động,Huỳnh Ngọc Thanh Phước,31/05/2026,Kiểm tra PlayMode runtime bằng prefab/script thật.,
GL-003,AddGold tăng vàng,AddGold làm CurrentGold tăng đúng.,Gold 0->25.,Pass,,Tự động,Huỳnh Ngọc Thanh Phước,31/05/2026,Kiểm tra PlayMode runtime bằng prefab/script thật.,
GL-004,AddGold bỏ qua số âm,AddGold âm không đổi vàng.,"Gold trước=30, sau AddGold(-10)=30.",Pass,,Tự động,Huỳnh Ngọc Thanh Phước,31/05/2026,Kiểm tra PlayMode runtime bằng prefab/script thật.,
GL-005,RemoveGold trừ vàng,RemoveGold làm CurrentGold giảm đúng.,Gold 100->65.,Pass,,Tự động,Huỳnh Ngọc Thanh Phước,31/05/2026,Kiểm tra PlayMode runtime bằng prefab/script thật.,
GL-006,Vàng không âm,RemoveGold quá số không làm vàng âm.,Gold sau RemoveGold(999)=0.,Pass,,Tự động,Huỳnh Ngọc Thanh Phước,31/05/2026,Kiểm tra PlayMode runtime bằng prefab/script thật.,
GL-007,HasEnoughGold đúng,HasEnoughGold trả đúng true/false.,"Gold=50, HasEnoughGold(30)=True, HasEnoughGold(80)=False.",Pass,,Tự động,Huỳnh Ngọc Thanh Phước,31/05/2026,Kiểm tra PlayMode runtime bằng prefab/script thật.,
GL-008,ResetGold về 0,ResetGold đưa CurrentGold về 0.,Gold sau ResetGold=0.,Pass,,Tự động,Huỳnh Ngọc Thanh Phước,31/05/2026,Kiểm tra PlayMode runtime bằng prefab/script thật.,
GL-009,LevelManager thật khởi tạo được,CurrentLevel >= 1.,"CurrentLevel=1, maxLevel=15.",Pass,,Tự động,Huỳnh Ngọc Thanh Phước,31/05/2026,Kiểm tra PlayMode runtime bằng prefab/script thật.,
GL-010,Chi phí lên level hợp lệ,GetCurrentLevelUpCost trả số không âm.,Cost=150.,Pass,,Tự động,Huỳnh Ngọc Thanh Phước,31/05/2026,Kiểm tra PlayMode runtime bằng prefab/script thật.,
GL-011,Thiếu vàng không lên level,CanLevelUp false khi thiếu vàng.,"Gold=0, CanLevelUp=False.",Pass,,Tự động,Huỳnh Ngọc Thanh Phước,31/05/2026,Kiểm tra PlayMode runtime bằng prefab/script thật.,
GL-012,Đủ vàng có thể lên level,CanLevelUp true khi đủ vàng.,"Gold=150, cost=150, CanLevelUp=True.",Pass,,Tự động,Huỳnh Ngọc Thanh Phước,31/05/2026,Kiểm tra PlayMode runtime bằng prefab/script thật.,
GL-013,LevelUp tăng level và trừ vàng,LevelUp tăng level và trừ đúng cost.,"Level 1->2, Gold 170->20, cost=150.",Pass,,Tự động,Huỳnh Ngọc Thanh Phước,31/05/2026,Kiểm tra PlayMode runtime bằng prefab/script thật.,
GL-014,Max level không tăng thêm,Ở maxLevel thì LevelUp không tăng tiếp.,"maxLevel=15, CurrentLevel sau LevelUp=15.",Pass,,Tự động,Huỳnh Ngọc Thanh Phước,31/05/2026,Kiểm tra PlayMode runtime bằng prefab/script thật.,
