Mã TC,Tiêu đề testcase,Kết quả mong đợi,Kết quả thực tế,Tình trạng thực thi,Mức độ nghiêm trọng của lỗi,Kiểu chạy (Thủ công / Tự động),Người kiểm thử,Ngày bắt đầu,Chi tiết bước kiểm thử,Ghi chú
MAP-001,Load gameplay/map scene được,Load được scene gameplay/map thật trong project.,Scene đã load=Assets/Ben Ho/Scene UI/UI Menu.unity. Error/Exception=0.,Pass,,Tự động,Huỳnh Ngọc Thanh Phước,31/05/2026,Kiểm tra PlayMode runtime bằng prefab/script thật.,
MAP-002,Scene có Collider,Gameplay scene có Collider thật để chặn nhân vật.,"Scene đã load=Assets/Ben Ho/Scene UI/UI Menu.unity. Collider tổng=0, enabled=0. Fail - AssertionException: Expected: greater than 0 But was: 0",Fail,High,Tự động,Huỳnh Ngọc Thanh Phước,31/05/2026,Kiểm tra PlayMode runtime bằng prefab/script thật.,
MAP-003,Collider nền/map không trigger,Có ít nhất một Collider không trigger trên object map/nền.,Scene đã load=Assets/Ben Ho/Scene UI/UI Menu.unity. Collider không trigger=0. Fail - AssertionException: Expected: greater than 0 But was: 0,Fail,High,Tự động,Huỳnh Ngọc Thanh Phước,31/05/2026,Kiểm tra PlayMode runtime bằng prefab/script thật.,
MAP-004,Player có collider,Player prefab thật có Collider hoặc CharacterController.,"Player=Kael _RuntimeTest, Collider=2, CharacterController=1.",Pass,,Tự động,Huỳnh Ngọc Thanh Phước,31/05/2026,Kiểm tra PlayMode runtime bằng prefab/script thật.,
MAP-005,Enemy có collider,Enemy prefab thật có Collider hoặc CharacterController.,"Enemy=Enemy_Bat_RuntimeTest, Collider=2, CharacterController=0.",Pass,,Tự động,Huỳnh Ngọc Thanh Phước,31/05/2026,Kiểm tra PlayMode runtime bằng prefab/script thật.,
MAP-006,Player không rơi xuyên nền,Player prefab thật đứng trên ground hỗ trợ và không rơi xuyên.,"Player=Kael _RuntimeTest, Y đầu=1.20, Y sau=0.97.",Pass,,Tự động,Huỳnh Ngọc Thanh Phước,31/05/2026,Kiểm tra PlayMode runtime bằng prefab/script thật.,
MAP-007,Enemy không rơi xuyên nền,Enemy prefab thật đứng trên ground hỗ trợ và không rơi xuyên.,"Enemy=Enemy_Bat_RuntimeTest, Y đầu=1.20, Y sau=1.20.",Pass,,Tự động,Huỳnh Ngọc Thanh Phước,31/05/2026,Kiểm tra PlayMode runtime bằng prefab/script thật.,
MAP-008,Collider map có bounds hợp lệ,Collider trong scene có bounds kích thước lớn hơn 0.,"Scene đã load=Assets/Ben Ho/Scene UI/UI Menu.unity. Collider=0, bounds hợp lệ=0. Fail - AssertionException: Expected: greater than 0 But was: 0",Fail,Medium,Tự động,Huỳnh Ngọc Thanh Phước,31/05/2026,Kiểm tra PlayMode runtime bằng prefab/script thật.,
MAP-009,Player/Enemy spawn gần nhau không lỗi physics,Spawn Player và Enemy prefab thật trên ground hỗ trợ không lỗi đỏ.,"Player=Kael _RuntimeTest, Enemy=Enemy_Bat_RuntimeTest, khoảng cách=2.51, Error/Exception=0.",Pass,,Tự động,Huỳnh Ngọc Thanh Phước,31/05/2026,Kiểm tra PlayMode runtime bằng prefab/script thật.,
MAP-010,Map chạy 60 frame không lỗi đỏ,Gameplay/map scene thật chạy 60 frame không lỗi đỏ.,"Scene đã load=Assets/Ben Ho/Scene UI/UI Menu.unity. Frame=60, Error/Exception=0.",Pass,,Tự động,Huỳnh Ngọc Thanh Phước,31/05/2026,Kiểm tra PlayMode runtime bằng prefab/script thật.,
