Mã TC,Tiêu đề testcase,Kết quả mong đợi,Kết quả thực tế,Tình trạng thực thi,Mức độ nghiêm trọng của lỗi,Kiểu chạy (Thủ công / Tự động),Người kiểm thử,Ngày bắt đầu,Chi tiết bước kiểm thử,Ghi chú
PL-001,Kiem tra Player prefab co the khoi tao trong scene test,"Player duoc tao thanh cong, khong bi null va khong phat sinh loi khi Instantiate.","DAT - Prefab=Kael , vi tri spawn=(0.00,-1.15,0.00), so loi Console=0.",Pass,,Tự động,Huỳnh Ngọc Thanh Phước,31/05/2026,1. Load Player prefab that. 2. Instantiate Player vao scene test. 3. Kiem tra Player khac null. 4. Cho vai frame va kiem tra khong co loi Console.,
PL-002,Kiem tra Player khong bi Missing Script,Player va cac object con khong co component bi Missing Script.,"DAT - Da quet 86 GameObject con, tim thay 0 Missing Script.",Pass,,Tự động,Huỳnh Ngọc Thanh Phước,31/05/2026,1. Instantiate Player. 2. Duyet component cua Player va object con. 3. Kiem tra khong co component null.,
PL-003,Kiem tra Player khong bi vo hinh,Player co Renderer hoac SkinnedMeshRenderer dang bat.,"DAT - Tim thay 22 Renderer, trong do 22 Renderer dang enabled.",Pass,,Tự động,Huỳnh Ngọc Thanh Phước,31/05/2026,1. Instantiate Player. 2. Tim Renderer trong Player va object con. 3. Kiem tra co it nhat mot Renderer enabled.,
PL-004,Kiem tra Player khong bi loi material,"Renderer cua Player co material hop le, khong null.","DAT - Da kiem tra 22 Renderer, so material null la 0.",Pass,,Tự động,Huỳnh Ngọc Thanh Phước,31/05/2026,1. Instantiate Player. 2. Duyet Renderer. 3. Kiem tra sharedMaterials khong null.,
PL-005,Kiem tra Player co CharacterBase,Player co component CharacterBase.,"KHONG DAT - Khong tim thay component CharacterBase tren Player prefab that. KHONG DAT -   Khong tim thay component CharacterBase tren Player prefab that.
  Expected: not null
  But was:  null
",Fail,High,Tự động,Huỳnh Ngọc Thanh Phước,31/05/2026,1. Instantiate Player. 2. Tim component CharacterBase. 3. Kiem tra component khac null.,
PL-006,Kiem tra Player co CharacterMovement,Player co component CharacterMovement de xu ly di chuyen.,DAT - DAT - Tim thay component CharacterMovement tren Player prefab that.,Pass,,Tự động,Huỳnh Ngọc Thanh Phước,31/05/2026,1. Instantiate Player. 2. Tim component CharacterMovement. 3. Kiem tra component khac null.,
PL-007,Kiem tra Player co CharacterRotate,Player co component CharacterRotate de xoay huong nhan vat.,DAT - DAT - Tim thay component CharacterRotate tren Player prefab that.,Pass,,Tự động,Huỳnh Ngọc Thanh Phước,31/05/2026,1. Instantiate Player. 2. Tim component CharacterRotate. 3. Kiem tra component khac null.,
PL-008,Kiem tra Player co Collider hoac CharacterController,Player co thanh phan va cham de khong xuyen map hoac xuyen object.,"DAT - Tim thay 2 Collider, CharacterController=Co.",Pass,,Tự động,Huỳnh Ngọc Thanh Phước,31/05/2026,1. Instantiate Player. 2. Tim Collider hoac CharacterController. 3. Kiem tra ton tai it nhat mot component hop le.,
PL-009,Kiem tra Player khong roi xuyen nen sau khi spawn,"Player dung on dinh sau khi spawn, khong roi xuong duoi map.","DAT - Y ban dau=0.97, Y sau=0.97, do lech Y=0.00, thoi gian cho=1.00s.",Pass,,Tự động,Huỳnh Ngọc Thanh Phước,31/05/2026,1. Tao ground collider. 2. Spawn Player tren mat dat. 3. Ghi nhan Y ban dau. 4. Cho 1 giay. 5. Kiem tra Y khong giam bat thuong.,
PL-010,Kiem tra Player prefab that ton tai trong project,Player prefab that ton tai va duoc TestPrefabFinder tim thay.,DAT - Tim thay Player prefab: Kael .,Pass,,Tự động,Huỳnh Ngọc Thanh Phước,31/05/2026,1. Goi TestPrefabFinder.FindPlayerPrefab. 2. Kiem tra prefab khac null.,
PL-011,Kiem tra Player co Transform hop le,"Player co Transform hop le, position/rotation/scale khong NaN hoac Infinity.","DAT - Position=(0.00,0.00,0.00), rotation=(0.00, 0.00, 0.00), scale=(1.00,1.00,1.00).",Pass,,Tự động,Huỳnh Ngọc Thanh Phước,31/05/2026,"1. Instantiate Player. 2. Doc Transform. 3. Kiem tra position, rotation, scale hop le.",
PL-012,"Kiem tra Player scale hop le, khong bang 0",Player scale tren cac truc lon hon 0 va khong bi am bat thuong.,"DAT - Scale Player=(1.00,1.00,1.00).",Pass,,Tự động,Huỳnh Ngọc Thanh Phước,31/05/2026,1. Instantiate Player. 2. Doc localScale. 3. Kiem tra x/y/z lon hon 0.,
PL-013,Kiem tra Player active sau khi spawn,Player instance activeInHierarchy sau khi Instantiate.,"DAT - activeSelf=True, activeInHierarchy=True.",Pass,,Tự động,Huỳnh Ngọc Thanh Phước,31/05/2026,1. Instantiate Player. 2. Kiem tra activeSelf va activeInHierarchy.,
PL-014,Kiem tra Player co CharacterData hoac du lieu nhan vat hop le,CharacterData ton tai va stats co gia tri hop le.,"KHONG DAT -   Khong tim thay component CharacterBase tren Player prefab that.
  Expected: not null
  But was:  null
",Fail,High,Tự động,Huỳnh Ngọc Thanh Phước,31/05/2026,1. Instantiate Player. 2. Tim CharacterBase. 3. Doc CharacterData/stats bang reflection. 4. Kiem tra health/speed/stamina hop le neu doc duoc.,
PL-015,Kiem tra Player co Kael neu prefab la Kael,Neu prefab ten Kael hoac co visual Kael thi component Kael ton tai.,"DAT - looksLikeKael=True, component Kael=Kael.",Pass,,Tự động,Huỳnh Ngọc Thanh Phước,31/05/2026,1. Instantiate Player. 2. Kiem tra ten prefab/visual. 3. Neu la Kael thi tim component Kael.,
PL-016,Kiem tra StateController cua Player duoc khoi tao sau Start,Neu project dung StateController thi stateController khac null sau Start.,"KHONG DAT -   Khong tim thay component CharacterBase tren Player prefab that.
  Expected: not null
  But was:  null
",Fail,Medium,Tự động,Huỳnh Ngọc Thanh Phước,31/05/2026,1. Spawn Player. 2. Cho Start chay. 3. Doc StateController bang reflection.,
PL-017,Kiem tra Player state ban dau khong null neu doc duoc,StateController co currentState hop le sau khi Player Start.,"KHONG DAT -   Khong tim thay component CharacterBase tren Player prefab that.
  Expected: not null
  But was:  null
",Fail,Medium,Tự động,Huỳnh Ngọc Thanh Phước,31/05/2026,1. Spawn Player. 2. Cho Start chay. 3. Doc currentState bang reflection.,
PL-018,Kiem tra CharacterController cua Player co cau hinh hop le,CharacterController neu co thi radius/height/skinWidth lon hon 0.,"DAT - radius=0.50, height=2.00, skinWidth=0.02, center=(0.00,0.00,0.00).",Pass,,Tự động,Huỳnh Ngọc Thanh Phước,31/05/2026,"1. Instantiate Player. 2. Tim CharacterController. 3. Kiem tra radius, height, skinWidth.",
PL-019,Kiem tra Player co CharacterAnimation,Player co component CharacterAnimation de dieu khien animation.,DAT - DAT - Tim thay component CharacterAnimation tren Player prefab that.,Pass,,Tự động,Huỳnh Ngọc Thanh Phước,31/05/2026,1. Instantiate Player. 2. Tim component CharacterAnimation. 3. Kiem tra component khac null.,
PL-020,Kiem tra Player co effect point co ban,Player co EffectPoints hoac cac point danh/skill neu component yeu cau.,"DAT - EffectPoints=EffectPoints, so point con=10.",Pass,,Tự động,Huỳnh Ngọc Thanh Phước,31/05/2026,1. Instantiate Player. 2. Tim EffectPoints va cac child point quan trong. 3. Ghi nhan so point tim thay.,
PL-ACT-001,Kiem tra Player co CharacterCombat,Player co component CharacterCombat de xu ly chien dau.,DAT - DAT - Tim thay component CharacterCombat tren Player prefab that.,Pass,,Tự động,Huỳnh Ngọc Thanh Phước,31/05/2026,1. Instantiate Player. 2. Tim component CharacterCombat. 3. Kiem tra component khac null.,
PL-ACT-002,Kiem tra Player co CharacterMelee,Player co component CharacterMelee de xu ly danh can chien.,"KHONG DAT - Khong tim thay component CharacterMelee tren Player prefab that. KHONG DAT -   Khong tim thay component CharacterMelee tren Player prefab that.
  Expected: not null
  But was:  null
",Fail,High,Tự động,Huỳnh Ngọc Thanh Phước,31/05/2026,1. Instantiate Player. 2. Tim component CharacterMelee. 3. Kiem tra component khac null.,
PL-ACT-003,Kiem tra Player co CharacterWeapon,Player co component hoac du lieu vu khi hop le de tan cong.,"DAT - CharacterWeapon=CharacterWeapon, object vu khi gan tren Player=Khong tim thay.",Pass,,Tự động,Huỳnh Ngọc Thanh Phước,31/05/2026,1. Instantiate Player. 2. Tim CharacterWeapon hoac object vu khi tren Player. 3. Kiem tra reference hop le neu co.,
