Mã TC,Tiêu đề testcase,Kết quả mong đợi,Kết quả thực tế,Tình trạng thực thi,Mức độ nghiêm trọng của lỗi,Kiểu chạy (Thủ công / Tự động),Người kiểm thử,Ngày bắt đầu,Chi tiết bước kiểm thử,Ghi chú
UI-001,Tìm được UI/HUD prefab thật,Tìm được prefab UI/HUD thật trong project.,UI prefab=UIManager.,Pass,,Tự động,Huỳnh Ngọc Thanh Phước,31/05/2026,Kiểm tra PlayMode runtime bằng prefab/script thật.,
UI-002,UI prefab instantiate được,UI prefab thật instantiate được không lỗi đỏ.,Fail - MissingReferenceException: The object of type 'GameObject' has been destroyed but you are still trying to access it. Your script should either check if it is null or you should not destroy the object.,Fail,High,Tự động,Huỳnh Ngọc Thanh Phước,31/05/2026,Kiểm tra PlayMode runtime bằng prefab/script thật.,
UI-003,UI không Missing Script,UI prefab và object con không có Missing Script.,Fail - MissingReferenceException: The object of type 'GameObject' has been destroyed but you are still trying to access it. Your script should either check if it is null or you should not destroy the object.,Fail,High,Tự động,Huỳnh Ngọc Thanh Phước,31/05/2026,Kiểm tra PlayMode runtime bằng prefab/script thật.,
UI-004,HUD menu thật tồn tại,UI có HUDMenuTest/MenuBase hoặc object HUD thật.,Fail - MissingReferenceException: The object of type 'GameObject' has been destroyed but you are still trying to access it. Your script should either check if it is null or you should not destroy the object.,Fail,Medium,Tự động,Huỳnh Ngọc Thanh Phước,31/05/2026,Kiểm tra PlayMode runtime bằng prefab/script thật.,
UI-005,Joystick tồn tại trên HUD,HUD có Joystick thật để điều khiển Player.,Fail - MissingReferenceException: The object of type 'GameObject' has been destroyed but you are still trying to access it. Your script should either check if it is null or you should not destroy the object.,Fail,High,Tự động,Huỳnh Ngọc Thanh Phước,31/05/2026,Kiểm tra PlayMode runtime bằng prefab/script thật.,
UI-006,Nút thao tác chính tồn tại,HUD có Dodge/Jump/Attack/Lock/Skill.,Fail - MissingReferenceException: The object of type 'GameObject' has been destroyed but you are still trying to access it. Your script should either check if it is null or you should not destroy the object.,Fail,High,Tự động,Huỳnh Ngọc Thanh Phước,31/05/2026,Kiểm tra PlayMode runtime bằng prefab/script thật.,
UI-007,Button HUD dùng EventTouch,Các nút HUD có EventTouch hoặc component tương tác thật.,Fail - MissingReferenceException: The object of type 'GameObject' has been destroyed but you are still trying to access it. Your script should either check if it is null or you should not destroy the object.,Fail,Medium,Tự động,Huỳnh Ngọc Thanh Phước,31/05/2026,Kiểm tra PlayMode runtime bằng prefab/script thật.,
UI-008,UIManager thật khởi tạo được,UIManager thật khởi tạo trong PlayMode không lỗi đỏ.,"Component=UIManager, Error/Exception=0.",Pass,,Tự động,Huỳnh Ngọc Thanh Phước,31/05/2026,Kiểm tra PlayMode runtime bằng prefab/script thật.,
UI-009,Mở/đóng HUD không lỗi đỏ,Gọi Open/Close trên HUD thật không lỗi đỏ.,Fail - AssertionException: Không tìm thấy HUDMenuTest thật. Expected: not null But was: null,Fail,Medium,Tự động,Huỳnh Ngọc Thanh Phước,31/05/2026,Kiểm tra PlayMode runtime bằng prefab/script thật.,
UI-010,UI chạy 60 frame không lỗi đỏ,UI prefab thật chạy 60 frame không lỗi đỏ.,Fail - MissingReferenceException: The object of type 'GameObject' has been destroyed but you are still trying to access it. Your script should either check if it is null or you should not destroy the object.,Fail,High,Tự động,Huỳnh Ngọc Thanh Phước,31/05/2026,Kiểm tra PlayMode runtime bằng prefab/script thật.,
